фрицев фриц
передо перед
мной я
должок должок
безногий безногий
летчик лётчик
сбивал сбивать
фашистов фашист
стал стать
героем герой
советского советский
союза союз
победа победа
главное главное
россия россия
мир мир
бывший бывший
ссср ссср
экономика экономика
силовые силовой
структуры структура
наука наука
техника техника
культура культура
спорт спорт
интернет интернет
сми сми
ценности ценность
путешествия путешествие
жизни жизнь
среда среда
обитания обитание
забота забота
войти войти
эксклюзивы эксклюзив
статьи статья
галереи галерея
видео видео
спецпроекты спецпроект
мини минь
игры игра
мотор мотор
архив архив
лента лента
добра добро
хочешь хотеть
видеть видеть
хорошие хороший
новости новость
жми жать
вернуться вернуться
обычную обычный
ленту лента
февраля февраль
петр пётр
каменченко каменченко
специальный специальный
корреспондент корреспондент
ленты лента
ру ру
нескольких несколько
поколений поколение
советских советский
людей человек
имя имя
алексея алексей
маресьева маресьев
стало стать
символом символ
беспримерного беспримерный
мужества мужество
непоколебимой непоколебимый
воли воля
терпения терпение
любви любовь
победы победа
трагическими трагический
обстоятельствами обстоятельство
чудом чудом
выживший выжить
истребитель истребитель
лишившийся лишиться
обеих оба
ног нога
смог смочь
авиацию авиация
сбить сбить
воздушных воздушный
боях бой
семь семь
немецких немецкий
самолетов самолёт
представляя представлять
званию звание
героя герой
командование командование
подозревало подозревать
обычном обычный
истребителе истребитель
ла ла
сражается сражаться
пилот пилот
отважном отважный
летчике лётчик
настоящем настоящий
человеке человек
рассказывает рассказывать
рамках рамка
проекта проект
жизнь жизнь
замечательных замечательный
десять десять
жизней жизнь
своим свой
годам год
маресьев маресьев
должен должный
умереть умереть
погибнуть погибнуть
менее менее
десяти десять
слабый слабый
рождения рождение
алеша алеш
пережил пережить
страшный страшный
голод голод
начала начало
х х
годов год
поволжье поволжье
тяжелую тяжёлый
малярию малярия
осложненную осложнить
ревматизмом ревматизм
раза раз
тонул тонуть
волге волга
спасали спасать
откачивали откачивать
каждом каждый
случае случай
смерть смерть
щадила щадить
человека человек
поражавшего поражать
окружающих окружающий
упорством упорство
любовью любовь
фортуна фортуна
стороне сторона
апреле апрель
года год
самолет самолёт
лейтенанта лейтенант
сбит сбить
рухнул рухнуть
глухих глухой
новгородских новгородский
лесах лес
сознание сознание
вернулось вернуться
тяжелораненому тяжелораненый
летчику лётчик
разбуженный разбудить
войной война
медведь медведь
шатун шатун
рвал рвать
нем немой
комбинезон комбинезон
маресьеву маресьев
удалось удаться
медведя медведь
застрелить застрелить
затем затем
началось начаться
длинное длинный
мучительное мучительный
испытание испытание
которое который
храбрый храбрый
выдержал выдержать
суток сутки
контуженый контуженый
перебитыми перебить
ногами нога
еды еда
полз ползти
снегу снег
дополз доползти
стоны стон
момент момент
услышали услышать
деревенские деревенский
мальчишки мальчишка
позвали позвать
взрослых взрослый
пройдет пройти
некоторое некоторый
время время
считавшийся считаться
погибшим погибший
жив живой
узнает узнать
командир командир
эскадрильи эскадрилья
погрузит погрузить
боевого боевой
товарища товарищ
доставит доставить
крупный крупный
военный военный
госпиталь госпиталь
этому этот
времени время
гангрена гангрена
начнется начаться
заражение заражение
крови кровь
госпитале госпиталь
сочтут счесть
бесперспективным бесперспективный
сделав сделать
обезболивающий обезболивать
укол укол
оставят оставить
коридоре коридор
носилках носилки
проще простой
отвезти отвезти
тело тело
морг морг
живого живой
сознании сознание
дежурного дежурный
обхода обход
обнаружит обнаружить
профессор профессор
теребинский теребинский
несите нести
операционную операционный
распорядится распорядиться
хирург хирург
можем мочь
отказать отказать
больному больной
операции операция
это это
единственный единственный
шанс шанс
взял взять
стерильные стерильный
ножницы ножницы
просто просто
моих мой
глазах глаз
отрезал отрезать
ноги нога
этими этот
ножницами ножницы
некоторых некоторый
местах место
немного немного
живые живой
ткани ткань
больно больно
вообще вообще
алексей алексей
маресьевиз маресьевиз
воспоминаний воспоминание
одна один
операция операция
общим общий
наркозом наркоз
выдержит выдержать
придя прийти
отчаянии отчаяние
инвалид инвалид
жить жить
дальше далёкий
единственное единственный
умел уметь
пилотировать пилотировать
хотел хотеть
летать летать
следовало следовать
забыть забыть
ходить ходить
казалось казаться
беспомощного беспомощный
инвалида инвалид
ждут ждать
впереди впереди
горе гора
боль боль
страдание страдание
нищета нищета
многие многие
таких такой
увечий увечье
думали думать
кончена конченый
приходили приходить
подобные подобный
мысли мысль
голову голова
судьба судьба
берегла беречь
одной один
известной известный
цели цель
устала устать
преследовать преследовать
упорного упорный
паренька паренёк
однажды однажды
медсестра медсестра
принесла принести
палату палата
журнал журнал
статьей статья
английском английский
который который
остался остаться
однако однако
страницы страница
журнала журнал
сохранил сохранить
именно именно
решил решить
вернется вернуться
снова снова
бить бить
долги долг
отдавать отдавать
вернулся вернуться
смысл смысл
задача задача
безногим безногий
летчиком лётчик
стояла стоять
невыполнимая невыполнимый
тяга тяга
небу небо
откуда откуда
берутся браться
герои герой
земля земля
рождает рождать
среде среда
растут расти
мужают мужать
набираются набираться
сил сила
родился родиться
мая май
волжском волжский
городке городок
камышин камышин
саратовской саратовский
губернии губерния
отец отец
мать мать
старших старший
брата брат
работали работать
местном местный
лесозаводе лесозавод
детство детство
пришлось прийтись
самые самый
тяжелые тяжёлый
годы год
российской российский
истории история
война война
революция революция
гражданская гражданский
которой который
несколько несколько
переходил переходить
красных красный
белым белый
наоборот наоборот
году год
умер умереть
последствий последствие
ранения ранение
полученного получить
фронте фронт
первую первый
мировую мировой
войну война
присоединившегося присоединиться
туберкулеза туберкулёз
тяжело тяжело
болел болеть
малярия малярия
ревматизм ревматизм
какими какой
усилиями усилие
уберегла уберечь
подняла поднять
троих трое
сыновей сын
остается оставаться
догадываться догадываться
доучился доучиться
шестого шестой
класса класс
поступил поступить
фабзавуч фабзавуч
школу школа
фабрично фабричный
заводского заводский
ученичества ученичество
освоить освоить
специальность специальность
токаря токарь
учащихся учиться
школы школа
называли называть
фабзайцами фабзаяц
примерно примерно
впервые впервые
увидел увидеть
небе небо
городком городок
старенький старенький
биплан биплан
выписывал выписывать
фигуры фигура
высшего высокий
пилотажа пилотаж
заболел заболеть
небом небо
тысячи тысяча
других другой
мальчишек мальчишка
девчонок девчонка
отправлял отправлять
документы документ
летное лётный
военное военный
училище училище
каждый каждый
получал получать
отказ отказ
состоянию состояние
здоровья здоровье
тощий тощий
больными больной
суставами сустав
малярии малярия
желтый жёлтый
китаец китаец
фабзаяц фабзаяц
имел иметь
единого единый
шанса шанс
стать стать
слабое слабый
здоровье здоровье
помешало помешать
лесозаводу лесозавод
отправить отправить
разнарядке разнарядка
ударную ударный
стройку стройка
составе состав
комсомольского комсомольский
отряда отряд
сталинградской сталинградский
области область
дальний дальний
восток восток
строить строить
предстояло предстоять
город город
юности юность
комсомольск комсомольск
амуре амур
поскольку поскольку
работы работа
приморской приморский
тайге тайга
нашлось найтись
отправили отправить
заготовку заготовка
леса лес
странно странно
лесоповал лесоповал
угробил угробить
болезненного болезненный
юношу юноша
вернул вернуть
дал дать
физическую физический
силу сила
группа группа
комсомольцев комсомолец
решила решить
создать создать
свой свой
аэроклуб аэроклуб
записался записаться
вместе вместе
другими другой
энтузиастами энтузиаст
сами сам
расчистили расчистить
тайгу тайга
аэродром аэродром
построили построить
бараки барак
учебных учебный
классов класс
выхлопотали выхлопотать
самолетик самолётик
записавшихся записаться
финиша финиш
добрались добраться
одним один
самых самый
упертых упереть
июля июль
праздника праздник
посвященного посвятить
й й
годовщине годовщина
комсомольска комсомольск
совершил совершить
первый первый
самостоятельный самостоятельный
полет полёт
призвали призвать
ркка ркк
служить служить
мотористом моторист
авиаотряде авиаотряд
пограничной пограничный
службы служба
сахалине сахалин
часть часть
располагалась располагаться
селе село
рыковское рыковский
село село
посетил посетить
чехов чехов
назвал назвать
своем свой
сахалинском сахалинский
дневнике дневник
серой серый
русской русский
деревней деревня
каких какой
либо либо
претензий претензия
культурность культурность
запискам записка
антона антон
павловича павлович
местная местный
тюрьма тюрьма
показалась показаться
лучшей хороший
сахалинских сахалинский
тюрем тюрьма
своей свой
чистотой чистота
опрятностью опрятность
никаких никакой
перспектив перспектива
захолустном захолустный
рыковском рыковский
видел видеть
целый целый
год год
рассылал рассылать
прошения прошение
направлении направление
авиашколу авиашкола
начале начало
своего свой
добился добиться
ишака ишак
зачислили зачислить
читинскую читинский
истребительную истребительный
авиационную авиационный
переведенную перевести
батайск батайск
выпуск выпуск
курсантов курсант
батайской батайский
состоялся состояться
июне июнь
военно военный
воздушные воздушный
силы сила
получили получить
летчика лётчик
истребителя истребитель
семеро семеро
которых который
будут быть
удостоены удостоить
звания звание
великолепной великолепный
семерки семёрка
станет стать
ноябре ноябрь
получил получить
свое свой
первое первый
офицерское офицерский
звание звание
младший младший
лейтенант лейтенант
назначен назначить
инструктором инструктор
полетов полёт
утром утром
июня июнь
приехал приехать
ателье ателье
примерку примерка
нового новый
гражданского гражданский
костюма костюм
узнал узнать
войны война
костюм костюм
дошили дошить
утро утро
закончилась закончиться
миллионов миллион
зачислен зачислить
истребительный истребительный
авиационный авиационный
полк полк
юго юго
западного западный
фронта фронт
весьма весьма
своенравный своенравный
легендарный легендарный
ишак ишак
самый самый
массовый массовый
советский советский
довоенный довоенный
обладал обладать
высокой высокий
маневренностью манёвренность
сильным сильный
вооружением вооружение
сложен сложный
управлении управление
неустойчив неустойчивый
полете полёт
требовало требовать
большего больший
внимания внимание
чутко чутко
реагировал реагировать
малейшее малый
движение движение
ручки ручка
управления управление
прощал прощать
ошибок ошибка
освоивший освоить
